<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.16	14:53:00	87331.94	87366.82	87224.26	87239.11	308	0	1260
2025.12.16	14:54:00	87235.64	87306.44	87136.39	87187.68	231	0	1260
2025.12.16	14:55:00	87197.75	87296.9	87133.31	87197.1	254	0	1260
2025.12.16	14:56:00	87198.92	87225.37	87015.23	87052.16	226	0	1260
2025.12.16	14:57:00	87056.78	87113.17	87023.16	87088.29	212	0	1260
2025.12.16	14:58:00	87087.22	87234.04	87085.29	87234.04	196	0	1260
2025.12.16	14:59:00	87240.63	87320.4	87191.25	87279.32	162	0	1260
2025.12.16	15:00:00	87268.37	87335.97	87216.2	87302.71	242	0	1260
2025.12.16	15:01:00	87304.99	87407.86	87254.11	87361.76	232	0	1260
2025.12.16	15:02:00	87361.03	87361.03	87107.42	87117.23	202	0	1260
2025.12.16	15:03:00	87113.86	87113.86	86951.91	86951.91	209	0	1260
2025.12.16	15:04:00	86953.19	87167.13	86934.19	87076.28	200	0	1260
2025.12.16	15:05:00	87080.41	87214.28	87033.97	87211.46	216	0	1260
2025.12.16	15:06:00	87200.78	87286.68	87098.94	87258.23	242	0	1260
2025.12.16	15:07:00	87262.96	87420.62	87237.74	87420.62	187	0	1260
2025.12.16	15:08:00	87424.26	87467.63	87304.05	87312.8	232	0	1260
2025.12.16	15:09:00	87307.91	87307.91	87162.18	87181.06	191	0	1260
2025.12.16	15:10:00	87177.83	87201.22	87038.27	87063.4	190	0	1260
2025.12.16	15:11:00	87068.1	87232.27	87033.72	87232.27	183	0	1260
2025.12.16	15:12:00	87241.76	87275.01	87082.91	87256.79	202	0	1260
2025.12.16	15:13:00	87254.42	87292.42	87106.69	87111.82	158	0	1260
2025.12.16	15:14:00	87106.97	87293.62	87091.67	87211.01	179	0	1260
2025.12.16	15:15:00	87207.82	87254.46	87069.69	87107.18	203	0	1260
2025.12.16	15:16:00	87111.74	87135.7	87021.1	87081.97	204	0	1260
2025.12.16	15:17:00	87072.3	87117.87	86938.65	86938.65	211	0	1260
2025.12.16	15:18:00	86936.02	87092.42	86822.34	87092.42	223	0	1260
2025.12.16	15:19:00	87087.1	87211.86	87014.66	87167.3	194	0	1260
2025.12.16	15:20:00	87165.03	87233.43	87119.96	87227.78	175	0	1260
2025.12.16	15:21:00	87229.99	87235.1	87101.38	87126.64	185	0	1260
2025.12.16	15:22:00	87124.37	87174.86	86995.87	87113.65	172	0	1260
2025.12.16	15:23:00	87109.19	87203.09	87047.79	87062.45	211	0	1260
2025.12.16	15:24:00	87062.57	87149.13	87042.38	87123.65	175	0	1260
2025.12.16	15:25:00	87123.54	87156.82	86946.62	87000.12	213	0	1260
2025.12.16	15:26:00	86997.49	87061.52	86935.38	86950.13	190	0	1260
2025.12.16	15:27:00	86951.58	87056.47	86934.73	87031.19	194	0	1260
2025.12.16	15:28:00	87031.32	87194.51	87023.27	87183.59	189	0	1260
2025.12.16	15:29:00	87172.82	87238.67	87126.26	87158.58	155	0	1260
2025.12.16	15:30:00	87158.5	87224.12	87102.06	87130.88	212	0	1260
2025.12.16	15:31:00	87123.08	87279.51	87106.52	87251.4	182	0	1260
2025.12.16	15:32:00	87254.58	87348.85	87202.32	87260.25	209	0	1260
2025.12.16	15:33:00	87259.68	87294.65	87206.84	87245.19	195	0	1260
2025.12.16	15:34:00	87249.05	87308.75	87195.07	87228.78	143	0	1260
2025.12.16	15:35:00	87230.33	87323.75	87227.54	87270.38	182	0	1260
2025.12.16	15:36:00	87268.51	87324.35	87135.83	87195.93	174	0	1260
2025.12.16	15:37:00	87198.7	87245.54	87099.85	87123.62	193	0	1260
2025.12.16	15:38:00	87123.45	87166.14	87041.47	87064.35	158	0	1260
2025.12.16	15:39:00	87060.75	87171.45	87029.25	87149.07	165	0	1260
2025.12.16	15:40:00	87146.42	87202.56	87075.86	87177.07	210	0	1260
2025.12.16	15:41:00	87174.36	87282.63	87134.17	87134.17	150	0	1260
2025.12.16	15:42:00	87137.24	87202.8	87082.93	87185.77	130	0	1260
2025.12.16	15:43:00	87183.76	87219.93	87128.01	87128.01	140	0	1260
2025.12.16	15:44:00	87128.32	87309.15	87109.6	87293.41	135	0	1260
2025.12.16	15:45:00	87296.75	87538.85	87223.87	87494.93	321	0	1260
2025.12.16	15:46:00	87497.99	87645.99	87496.93	87513.22	297	0	1260
2025.12.16	15:47:00	87518.57	87603.82	87463.32	87563.75	187	0	1260
2025.12.16	15:48:00	87563.59	87709.62	87546.53	87650.35	227	0	1260
2025.12.16	15:49:00	87638.92	87673.61	87537.1	87610.3	194	0	1260
2025.12.16	15:50:00	87591.97	87658.0	87479.06	87551.06	187	0	1260
2025.12.16	15:51:00	87556.34	87786.98	87545.52	87705.78	234	0	1260
2025.12.16	15:52:00	87705.38	87719.82	87636.01	87704.27	134	0	1260
2025.12.16	15:53:00	87703.78	87861.74	87672.11	87796.56	189	0	1260
2025.12.16	15:54:00	87798.47	87946.42	87774.6	87918.25	216	0	1260
2025.12.16	15:55:00	87902.67	87993.66	87851.98	87984.53	192	0	1260
2025.12.16	15:56:00	87988.3	88136.72	87988.3	88082.76	243	0	1260
2025.12.16	15:57:00	88081.96	88148.17	87857.81	87893.39	284	0	1260
2025.12.16	15:58:00	87896.39	87930.81	87777.66	87896.44	265	0	1260
