<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.02.23	1659.829	1689.250	1562.930	1586.092	865724	0	0
2020.03.01	1582.181	1692.090	1575.310	1674.408	746288	0	0
2020.03.08	1696.393	1703.440	1504.620	1529.315	809985	0	0
2020.03.15	1551.948	1575.439	1451.130	1498.787	909214	0	0
2020.03.22	1502.269	1644.370	1482.842	1624.272	384652	0	0
2020.03.29	1628.767	1632.250	1569.330	1616.409	393426	0	0
2020.04.05	1614.364	1690.430	1608.350	1683.146	384806	0	0
2020.04.12	1684.667	1747.400	1674.980	1683.832	556530	0	0
2020.04.19	1682.980	1738.780	1660.030	1728.132	674089	0	0
2020.04.26	1722.110	1727.590	1670.400	1700.190	652222	0	0
2020.05.03	1698.626	1723.600	1681.140	1702.487	483386	0	0
2020.05.10	1702.229	1751.680	1691.530	1742.132	623852	0	0
2020.05.17	1747.567	1765.080	1717.100	1734.218	653609	0	0
2020.05.24	1731.752	1737.690	1693.620	1729.601	450002	0	0
2020.05.31	1733.853	1745.090	1670.550	1685.638	472148	0	0
2020.06.07	1681.365	1744.630	1677.220	1730.678	498070	0	0
2020.06.14	1730.998	1745.280	1704.110	1743.611	451353	0	0
2020.06.21	1746.649	1779.430	1742.740	1771.355	448299	0	0
2020.06.28	1770.811	1789.080	1757.430	1774.900	320295	0	0
2020.07.05	1773.627	1817.920	1769.860	1798.720	345233	0	0
2020.07.12	1799.417	1815.040	1790.630	1809.839	333357	0	0
2020.07.19	1808.183	1906.500	1805.620	1901.218	519483	0	0
2020.07.26	1902.770	1983.970	1902.540	1975.032	669035	0	0
2020.08.02	1983.223	2074.870	1960.390	2034.908	679523	0	0
2020.08.09	2026.761	2049.850	1862.580	1944.433	827128	0	0
2020.08.16	1944.925	2015.570	1911.260	1940.169	783471	0	0
2020.08.23	1936.539	1976.530	1902.640	1964.681	712812	0	0
2020.08.30	1969.005	1992.290	1916.270	1933.608	577987	0	0
2020.09.06	1932.601	1966.530	1906.540	1939.994	534748	0	0
2020.09.13	1937.402	1973.640	1932.870	1950.103	535257	0	0
2020.09.20	1949.731	1955.620	1848.750	1861.211	783333	0	0
2020.09.27	1862.989	1917.100	1848.930	1898.780	613869	0	0
2020.10.04	1903.402	1930.410	1872.940	1930.203	483595	0	0
2020.10.11	1926.702	1933.234	1882.460	1898.882	462231	0	0
2020.10.18	1899.921	1931.360	1894.290	1901.658	410428	0	0
2020.10.25	1901.569	1911.420	1859.920	1878.914	483823	0	0
2020.11.01	1879.363	1960.290	1873.410	1951.911	593036	0	0
2020.11.08	1957.174	1965.460	1850.520	1889.414	650643	0	0
2020.11.15	1887.977	1899.010	1852.690	1870.980	467480	0	0
2020.11.22	1870.835	1876.140	1774.330	1787.011	422999	0	0
2020.11.29	1789.529	1848.170	1764.380	1839.066	437151	0	0
2020.12.06	1836.664	1875.280	1821.990	1839.606	432586	0	0
2020.12.13	1837.167	1896.190	1818.340	1881.327	437476	0	0
2020.12.20	1882.880	1906.700	1854.990	1879.072	397481	0	0
2020.12.27	1888.983	1900.380	1869.120	1893.680	296938	0	0
2021.01.03	1909.364	1959.290	1828.270	1849.426	625550	0	0
2021.01.10	1855.094	1863.800	1817.000	1827.031	558624	0	0
2021.01.17	1828.004	1875.010	1802.588	1855.788	592052	0	0
2021.01.24	1858.263	1875.690	1831.350	1847.895	769480	0	0
2021.01.31	1855.338	1871.780	1784.900	1814.192	832585	0	0
2021.02.07	1817.316	1855.310	1807.770	1824.285	612497	0	0
2021.02.14	1824.955	1827.020	1760.640	1784.105	696696	0	0
2021.02.21	1786.388	1816.010	1717.180	1734.706	988215	0	0
2021.02.28	1738.015	1759.890	1687.280	1700.892	975385	0	0
2021.03.07	1706.358	1739.820	1676.820	1726.805	805234	0	0
2021.03.14	1728.308	1755.460	1719.250	1745.183	714886	0	0
2021.03.21	1743.770	1745.430	1721.630	1732.385	622938	0	0
2021.03.28	1731.433	1732.840	1677.860	1729.807	495858	0	0
2021.04.04	1728.518	1758.660	1721.250	1743.898	519776	0	0
2021.04.11	1742.518	1783.790	1723.700	1776.579	547280	0	0
2021.04.18	1775.696	1797.880	1763.530	1777.079	537427	0	0
2021.04.25	1775.652	1789.980	1756.190	1768.832	498364	0	0
2021.05.02	1767.114	1843.300	1766.040	1831.035	526337	0	0
2021.05.09	1832.952	1845.930	1808.770	1843.542	612640	0	0
2021.05.16	1843.841	1890.090	1843.520	1881.715	649164	0	0
2021.05.23	1881.041	1912.740	1872.710	1903.762	633921	0	0
2021.05.30	1903.861	1916.580	1855.500	1891.195	563073	0	0
2021.06.06	1890.050	1903.670	1869.840	1877.457	556284	0	0
2021.06.13	1876.217	1877.664	1760.910	1764.619	697434	0	0
2021.06.20	1768.784	1794.950	1766.400	1781.418	586712	0	0
2021.06.27	1781.320	1795.040	1750.690	1787.502	407897	0	0
2021.07.04	1787.333	1818.330	1784.470	1808.278	397884	0	0
2021.07.11	1808.105	1834.070	1791.650	1812.063	396247	0	0
2021.07.18	1811.280	1824.920	1789.630	1802.182	496181	0	0
2021.07.25	1802.330	1832.620	1792.360	1813.990	444738	0	0
2021.08.01	1814.487	1831.650	1758.650	1763.875	411429	0	0
2021.08.08	1761.483	1779.958	1683.200	1779.565	490435	0	0
2021.08.15	1779.073	1795.460	1770.800	1781.291	430937	0	0
2021.08.22	1781.435	1819.090	1776.440	1816.834	369894	0	0
2021.08.29	1817.993	1833.950	1801.710	1827.629	308100	0	0
2021.09.05	1828.145	1830.240	1782.430	1787.670	308652	0	0
2021.09.12	1787.344	1808.580	1745.240	1754.592	388880	0	0
2021.09.19	1754.735	1787.210	1737.430	1750.531	461321	0	0
2021.09.26	1750.071	1764.280	1721.650	1760.522	502639	0	0
2021.10.03	1760.991	1781.270	1745.950	1757.268	456221	0	0
2021.10.10	1757.309	1800.570	1750.180	1767.484	447157	0	0
2021.10.17	1767.018	1813.790	1760.310	1792.909	506493	0	0
2021.10.24	1792.982	1810.380	1771.980	1783.333	516753	0	0
2021.10.31	1783.306	1818.306	1758.070	1818.164	463814	0	0
2021.11.07	1815.787	1868.610	1812.460	1864.398	449206	0	0
2021.11.14	1866.842	1877.230	1843.000	1846.233	451862	0	0
2021.11.21	1842.245	1849.150	1778.540	1787.685	481569	0	0
2021.11.28	1788.634	1808.740	1761.970	1783.451	560007	0	0
2021.12.05	1782.139	1793.150	1770.100	1782.842	438734	0	0
2021.12.12	1782.769	1814.280	1752.340	1798.101	458114	0	0
2021.12.19	1800.647	1810.630	1785.000	1808.489	327282	0	0
2021.12.26	1806.269	1828.760	1789.470	1827.652	349651	0	0
2022.01.02	1830.652	1831.820	1782.640	1796.937	492925	0	0
2022.01.09	1794.936	1829.180	1790.360	1817.677	483702	0	0
2022.01.16	1817.700	1847.920	1805.790	1834.701	530904	0	0
2022.01.23	1833.182	1853.900	1780.300	1791.671	641292	0	0
2022.01.30	1789.382	1814.880	1785.570	1807.770	511080	0	0
2022.02.06	1808.474	1865.450	1807.840	1858.993	549653	0	0
2022.02.13	1855.676	1902.510	1844.490	1897.844	624227	0	0
2022.02.20	1903.114	1974.520	1878.000	1889.040	697664	0	0
2022.02.27	1920.987	1970.881	1890.860	1970.355	718405	0	0
2022.03.06	1981.454	2070.300	1958.560	1988.251	813900	0	0
2022.03.13	1980.380	1983.884	1895.010	1921.308	469635	0	0
2022.03.20	1925.105	1966.200	1910.670	1958.286	460281	0	0
2022.03.27	1955.625	1958.520	1890.020	1924.533	572652	0	0
2022.04.03	1924.711	1948.250	1915.150	1947.905	506843	0	0
2022.04.10	1948.330	1981.590	1940.000	1973.179	443815	0	0
2022.04.17	1972.948	1998.430	1926.680	1931.537	620957	0	0
