<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.05.19	1.11579	1.11663	1.11579	1.11644	4166	0	4
2019.05.20	1.11644	1.11744	1.11503	1.11669	39844	0	3
2019.05.21	1.11668	1.11876	1.11416	1.11640	48688	0	4
2019.05.22	1.11640	1.11799	1.11483	1.11550	40280	0	3
2019.05.23	1.11550	1.11871	1.11066	1.11838	56549	0	3
2019.05.24	1.11837	1.12118	1.11769	1.12044	45731	0	4
2019.05.26	1.12079	1.12113	1.12065	1.12065	2964	0	2
2019.05.27	1.12064	1.12150	1.11865	1.11931	22834	0	3
2019.05.28	1.11931	1.11981	1.11586	1.11678	47609	0	1
2019.05.29	1.11678	1.11721	1.11240	1.11362	51757	0	4
2019.05.30	1.11362	1.11430	1.11157	1.11292	39976	0	2
2019.05.31	1.11292	1.11795	1.11248	1.11676	61865	0	4
2019.06.02	1.11636	1.11740	1.11596	1.11733	4702	0	4
2019.06.03	1.11733	1.12616	1.11598	1.12454	59675	0	3
2019.06.04	1.12454	1.12769	1.12263	1.12533	66377	0	3
2019.06.05	1.12534	1.13061	1.12194	1.12282	68868	0	1
2019.06.06	1.12282	1.13084	1.12000	1.12752	65380	0	3
2019.06.07	1.12752	1.13474	1.12509	1.13322	62953	0	4
2019.06.09	1.13228	1.13301	1.13139	1.13187	3810	0	3
2019.06.10	1.13187	1.13240	1.12897	1.13176	41043	0	3
2019.06.11	1.13176	1.13371	1.13010	1.13291	54862	0	3
2019.06.12	1.13291	1.13430	1.12820	1.12920	55772	0	3
2019.06.13	1.12920	1.13033	1.12679	1.12792	46596	0	3
2019.06.14	1.12791	1.12888	1.12020	1.12103	56264	0	4
2019.06.16	1.12094	1.12170	1.12087	1.12151	3722	0	4
2019.06.17	1.12152	1.12467	1.12033	1.12238	35805	0	2
2019.06.18	1.12238	1.12425	1.11809	1.11975	69746	0	2
2019.06.19	1.11975	1.12538	1.11868	1.12353	61332	0	2
2019.06.20	1.12353	1.13173	1.12348	1.12940	79204	0	2
2019.06.21	1.12941	1.13773	1.12827	1.13699	71000	0	1
2019.06.23	1.13691	1.13849	1.13654	1.13846	5204	0	2
2019.06.24	1.13846	1.14036	1.13721	1.13990	49425	0	3
2019.06.25	1.13990	1.14116	1.13437	1.13677	74564	0	2
2019.06.26	1.13677	1.13909	1.13470	1.13732	60847	0	3
2019.06.27	1.13732	1.13811	1.13474	1.13709	52877	0	2
2019.06.28	1.13708	1.13931	1.13501	1.13693	50548	0	4
2019.06.30	1.13594	1.13708	1.13585	1.13597	5642	0	8
2019.07.01	1.13597	1.13636	1.12798	1.12864	58573	0	2
2019.07.02	1.12864	1.13212	1.12748	1.12900	47478	0	2
2019.07.03	1.12901	1.13111	1.12682	1.12869	47508	0	2
2019.07.04	1.12869	1.12947	1.12727	1.12849	19662	0	3
2019.07.05	1.12849	1.12857	1.12070	1.12248	46355	0	3
2019.07.07	1.12224	1.12292	1.12224	1.12267	2422	0	2
2019.07.08	1.12267	1.12343	1.12069	1.12150	30471	0	1
2019.07.09	1.12150	1.12187	1.11932	1.12043	30825	0	2
2019.07.10	1.12042	1.12642	1.12018	1.12581	53077	0	2
2019.07.11	1.12582	1.12857	1.12451	1.12497	55003	0	1
2019.07.12	1.12498	1.12748	1.12383	1.12699	44448	0	2
2019.07.14	1.12669	1.12744	1.12636	1.12709	3879	0	2
2019.07.15	1.12709	1.12838	1.12531	1.12600	36715	0	2
2019.07.16	1.12600	1.12634	1.12018	1.12117	43158	0	1
2019.07.17	1.12117	1.12336	1.11997	1.12271	34218	0	2
2019.07.18	1.12272	1.12820	1.12051	1.12609	56609	0	2
2019.07.19	1.12609	1.12684	1.12033	1.12194	48400	0	1
