<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.30	29348.16	30032.91	28566.92	29046.40	692326	0	299
2023.08.06	29046.57	30207.71	28675.06	29395.44	595061	0	404
2023.08.13	29395.51	29652.21	25627.66	26091.63	841075	0	96
2023.08.20	26090.48	26829.41	25363.68	25991.59	759958	0	297
2023.08.27	25992.10	28151.54	25298.68	25861.72	764819	0	107
2023.09.03	25862.85	26459.05	25368.46	25895.99	708305	0	161
2023.09.10	25896.52	26879.32	24889.98	26559.81	777668	0	28
2023.09.17	26560.66	27492.64	26372.78	26578.26	730680	0	251
2023.09.24	26578.32	27298.37	26000.24	26953.31	697206	0	177
2023.10.01	26953.30	28582.31	26948.44	27944.20	769262	0	87
2023.10.08	27943.97	28085.40	26515.90	26839.36	663408	0	345
2023.10.15	26839.31	30330.73	26796.25	29889.31	729764	0	207
2023.10.22	29890.35	35128.97	29646.35	34072.19	881934	0	65
2023.10.29	34072.21	35926.91	33928.15	35069.08	736815	0	168
2023.11.05	35069.11	37926.27	34462.91	37094.79	751318	0	151
2023.11.12	37091.17	37917.52	34906.74	36563.64	802139	0	168
2023.11.19	36564.23	38445.65	35624.13	37782.47	940918	0	229
2023.11.26	37785.47	39691.88	36686.10	39433.00	855670	0	457
2023.12.03	39432.58	44730.23	39254.44	43698.06	995175	0	600
2023.12.10	43700.26	44031.57	40166.57	42217.99	1031409	0	460
2023.12.17	42211.95	44431.92	40488.12	43727.55	932800	0	463
2023.12.24	43723.79	43957.29	41277.86	42092.89	901193	0	314
2023.12.31	42094.45	45917.29	41153.47	43956.76	1150552	0	409
2024.01.07	43949.35	48994.17	41459.49	42840.82	1448666	0	475
2024.01.14	42830.11	43577.16	40261.95	41672.21	1059434	0	1730
2024.01.21	41678.84	42237.03	38500.90	42128.43	1136941	0	1625
2024.01.28	42120.65	43855.24	41593.88	42986.67	915312	0	1625
2024.02.04	42983.30	48215.36	42219.64	47739.00	914778	0	1625
2024.02.11	47730.75	52779.51	47532.34	51620.73	1088441	0	1625
2024.02.18	51580.26	52936.90	50463.22	51549.11	989626	0	1626
2024.02.25	51537.79	63961.78	50858.06	61995.21	1250083	0	1625
2024.03.03	61986.62	70007.82	59215.17	68410.73	1526978	0	1625
2024.03.10	68405.52	73724.36	64737.23	65264.13	1546758	0	2135
2024.03.17	65206.81	68918.58	60738.36	64107.16	1812702	0	1635
