<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.23	1836.590	1846.040	1822.440	1824.540	100706	0	0
2022.06.24	1824.540	1831.700	1816.920	1827.137	92649	0	0
2022.06.26	1836.305	1836.440	1830.027	1831.040	11759	0	0
2022.06.27	1831.000	1841.030	1820.810	1823.550	98017	0	0
2022.06.28	1823.530	1829.480	1818.300	1818.450	82050	0	0
2022.06.29	1818.450	1833.070	1812.160	1818.910	85479	0	0
2022.06.30	1818.920	1825.100	1802.750	1806.550	94357	0	0
2022.07.01	1806.550	1809.432	1784.450	1809.379	118368	0	0
2022.07.03	1810.380	1810.975	1808.060	1808.120	6778	0	0
2022.07.04	1808.120	1814.260	1803.990	1809.280	58737	0	0
2022.07.05	1809.300	1812.130	1763.950	1769.550	110112	0	0
2022.07.06	1769.550	1772.860	1732.250	1739.990	124906	0	0
2022.07.07	1739.990	1749.120	1736.500	1741.700	98335	0	0
2022.07.08	1741.810	1752.450	1732.950	1742.286	90632	0	0
2022.07.10	1741.156	1744.626	1740.680	1741.970	6270	0	0
2022.07.11	1741.970	1743.590	1731.370	1733.310	90335	0	0
2022.07.12	1733.310	1744.200	1723.230	1725.310	107281	0	0
2022.07.13	1725.310	1745.420	1707.030	1731.950	128519	0	0
2022.07.14	1731.960	1733.570	1697.610	1711.670	140035	0	0
2022.07.15	1711.660	1716.620	1699.090	1707.477	108305	0	0
2022.07.17	1706.609	1710.683	1706.380	1710.260	7404	0	0
2022.07.18	1710.260	1723.950	1706.720	1708.220	107412	0	0
2022.07.19	1708.190	1718.420	1705.380	1709.950	99052	0	0
2022.07.20	1709.910	1714.460	1692.460	1695.430	90260	0	0
2022.07.21	1695.430	1720.320	1680.840	1718.180	110037	0	0
2022.07.22	1718.110	1739.310	1712.900	1727.506	106285	0	0
2022.07.24	1726.287	1727.127	1724.300	1724.710	6874	0	0
2022.07.25	1724.710	1736.280	1714.770	1718.990	105678	0	0
2022.07.26	1718.990	1728.220	1713.660	1717.960	93847	0	0
2022.07.27	1717.970	1740.320	1711.520	1738.800	102423	0	0
2022.07.28	1738.800	1757.110	1734.060	1754.880	123681	0	0
2022.07.29	1754.920	1767.930	1751.980	1766.216	117992	0	0
2022.07.31	1765.393	1765.428	1760.860	1762.180	6648	0	0
2022.08.01	1762.200	1775.230	1758.370	1772.240	110571	0	0
2022.08.02	1772.240	1788.060	1754.950	1756.720	124860	0	0
2022.08.03	1756.690	1772.800	1754.340	1763.650	92153	0	0
2022.08.04	1763.650	1794.950	1763.330	1793.400	86723	0	0
2022.08.05	1793.400	1794.890	1764.980	1775.666	112915	0	0
2022.08.07	1773.406	1775.084	1772.340	1774.560	6177	0	0
2022.08.08	1774.560	1790.630	1771.190	1789.220	90213	0	0
2022.08.09	1789.220	1800.450	1783.230	1794.080	85100	0	0
2022.08.10	1794.080	1807.870	1787.620	1791.690	108023	0	0
2022.08.11	1791.710	1799.310	1783.590	1788.950	103924	0	0
2022.08.12	1788.930	1802.236	1784.880	1801.959	97549	0	0
2022.08.14	1801.543	1801.803	1799.006	1799.160	5353	0	0
2022.08.15	1799.090	1801.760	1772.980	1778.520	104759	0	0
2022.08.16	1778.600	1783.090	1771.470	1775.570	88393	0	0
2022.08.17	1775.570	1782.340	1759.800	1764.960	115995	0	0
2022.08.18	1764.960	1772.400	1755.350	1758.400	102978	0	0
2022.08.19	1758.400	1758.580	1745.540	1747.414	102130	0	0
2022.08.21	1745.624	1748.131	1744.900	1745.690	6477	0	0
2022.08.22	1745.670	1749.060	1727.770	1735.250	104204	0	0
2022.08.23	1735.250	1754.110	1730.820	1746.050	108095	0	0
2022.08.24	1746.030	1755.900	1742.460	1751.030	100450	0	0
2022.08.25	1751.030	1765.500	1749.980	1756.410	101304	0	0
2022.08.26	1756.410	1758.820	1734.200	1738.036	120079	0	0
2022.08.28	1734.811	1738.562	1732.670	1734.720	11622	0	0
2022.08.29	1734.720	1745.520	1720.310	1739.560	109493	0	0
2022.08.30	1739.580	1740.550	1721.180	1723.320	109071	0	0
2022.08.31	1723.310	1726.520	1705.260	1708.920	122709	0	0
2022.09.01	1708.910	1708.910	1688.800	1697.190	123609	0	0
2022.09.02	1697.190	1717.980	1696.280	1712.570	113058	0	0
2022.09.04	1711.099	1711.610	1707.910	1707.980	6275	0	0
2022.09.05	1707.980	1715.750	1707.710	1713.890	61892	0	0
2022.09.06	1713.890	1726.770	1699.850	1703.400	122247	0	0
2022.09.07	1703.430	1719.464	1691.270	1716.590	126750	0	0
2022.09.08	1716.590	1728.200	1703.960	1710.680	134092	0	0
2022.09.09	1710.690	1729.410	1709.740	1717.223	109924	0	0
2022.09.11	1718.440	1720.192	1716.770	1718.410	6020	0	0
2022.09.12	1718.400	1735.130	1711.950	1725.280	108973	0	0
2022.09.13	1725.280	1731.820	1697.110	1702.110	127330	0	0
2022.09.14	1702.090	1707.110	1693.670	1697.520	126075	0	0
2022.09.15	1697.530	1697.830	1660.350	1662.380	122256	0	0
2022.09.16	1662.380	1680.340	1654.160	1675.324	116785	0	0
2022.09.18	1674.449	1680.000	1673.780	1677.970	6919	0	0
2022.09.19	1677.960	1678.790	1659.630	1675.770	100614	0	0
2022.09.20	1675.760	1679.460	1660.000	1666.360	106672	0	0
2022.09.21	1666.350	1688.030	1653.930	1667.010	137953	0	0
2022.09.22	1667.010	1684.910	1655.670	1672.760	158182	0	0
2022.09.23	1672.760	1675.920	1639.750	1643.914	151098	0	0
2022.09.25	1643.209	1645.740	1640.340	1644.120	10438	0	0
2022.09.26	1644.120	1649.760	1621.170	1627.670	179243	0	0
2022.09.27	1627.660	1642.450	1626.680	1628.834	147748	0	0
2022.09.28	1628.833	1662.690	1614.810	1656.190	174661	0	0
2022.09.29	1656.230	1665.160	1641.530	1664.590	166584	0	0
2022.09.30	1664.600	1675.360	1659.240	1661.000	144305	0	0
2022.10.02	1664.046	1665.431	1663.190	1664.180	8420	0	0
2022.10.03	1664.120	1702.590	1659.720	1700.990	148120	0	0
