<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.08.06	11758.92	11914.30	11573.19	11770.67	90693	0	0
2020.08.07	11770.99	11917.81	11326.71	11594.76	290252	0	0
2020.08.08	11594.90	11804.53	11515.23	11764.60	1683595	0	0
2020.08.09	11764.46	11797.34	11522.22	11688.39	1424901	0	0
2020.08.10	11688.39	12077.58	11432.79	11899.92	140519	0	0
2020.08.11	11899.92	11942.09	11110.43	11388.37	165117	0	0
2020.08.12	11388.37	11628.92	11134.80	11572.42	118808	0	0
2020.08.13	11572.42	11803.33	11265.17	11795.92	132014	0	0
2020.08.14	11795.67	11863.67	11650.19	11769.14	218512	0	0
2020.08.15	11769.08	11981.77	11699.66	11856.84	1848016	0	0
2020.08.16	11856.97	11929.65	11673.78	11902.59	1434946	0	0
2020.08.17	11902.59	12460.57	11759.45	12288.70	14419	0	38
2020.08.18	12292.70	12387.60	11806.68	11940.04	12980	0	119
2020.08.19	11940.05	12012.98	11589.67	11751.09	12471	0	116
2020.08.20	11752.09	11881.61	11669.32	11857.86	12759	0	118
2020.08.21	11857.86	11872.11	11485.19	11518.92	371001	0	0
2020.08.22	11519.08	11689.88	11362.33	11671.04	1547037	0	0
2020.08.23	11671.12	11715.03	11522.84	11638.35	1336136	0	0
2020.08.24	11638.35	11817.94	11579.47	11742.24	18924	0	0
2020.08.25	11742.25	11758.23	11129.01	11321.67	25394	0	0
2020.08.26	11321.67	11534.46	11240.75	11453.54	25551	0	113
2020.08.27	11452.54	11584.41	11123.86	11320.17	22278	0	38
2020.08.28	11320.17	11541.44	11277.14	11530.60	202198	0	0
2020.08.29	11530.63	11583.82	11413.51	11469.57	1235392	0	0
2020.08.30	11469.93	11707.28	11456.33	11703.20	1178544	0	0
2020.08.31	11703.20	11784.65	11565.02	11645.32	14234	0	0
2020.09.01	11645.32	12051.44	11538.45	11915.73	23884	0	0
2020.09.02	11915.73	11944.67	11165.82	11385.10	33666	0	0
2020.09.03	11384.60	11469.52	9993.73	10161.81	45887	0	0
2020.09.04	10161.81	10630.16	9931.78	10466.71	297121	0	0
2020.09.05	10466.81	10571.34	9826.74	10163.57	3967208	0	0
2020.09.06	10161.16	10342.20	9986.51	10252.39	2527320	0	0
2020.09.07	10252.40	10406.06	9890.19	10374.12	44093	0	0
2020.09.08	10377.12	10438.98	9861.06	10123.68	54065	0	0
2020.09.09	10123.68	10339.16	9981.51	10217.47	86556	0	0
2020.09.10	10212.48	10488.15	10212.48	10341.15	99607	0	0
2020.09.11	10341.15	10406.76	10203.29	10391.09	417247	0	0
2020.09.12	10390.77	10475.44	10266.17	10433.32	1402518	0	0
2020.09.13	10433.62	10569.14	10207.07	10326.66	1517724	0	0
2020.09.14	10324.67	10749.74	10240.75	10667.57	68958	0	0
2020.09.15	10667.57	10923.07	10622.58	10774.52	31134	0	0
2020.09.16	10774.34	11088.41	10658.49	10946.87	22424	0	0
2020.09.17	10946.86	11044.65	10748.29	10933.89	21720	0	0
2020.09.18	10933.89	11038.67	10810.99	10933.87	248055	0	0
2020.09.19	10933.93	11177.02	10888.67	11076.55	1304131	0	0
2020.09.20	11076.55	11077.28	10758.68	10909.94	1286895	0	0
2020.09.21	10910.62	10964.71	10297.30	10412.05	50857	0	0
2020.09.22	10412.04	10572.69	10362.53	10525.79	57260	0	0
2020.09.23	10531.62	10538.96	10136.86	10237.43	75438	0	0
2020.09.24	10242.42	10791.20	10204.50	10724.76	9381	0	0
2020.09.25	10727.35	10760.91	10557.72	10696.10	222193	0	0
2020.09.26	10695.47	10805.63	10656.19	10736.63	1466048	0	0
2020.09.27	10736.32	10804.49	10591.19	10779.23	1280757	0	0
2020.09.28	10779.23	10959.83	10660.33	10685.44	16637	0	0
2020.09.29	10684.63	10850.08	10634.55	10832.12	8295	0	0
2020.09.30	10832.12	10842.09	10660.50	10772.25	28495	0	0
2020.10.01	10772.25	10925.91	10458.94	10609.61	11297	0	0
2020.10.02	10609.61	10660.50	10384.60	10573.50	206180	0	0
2020.10.03	10573.86	10601.71	10497.95	10549.77	1109056	0	0
2020.10.04	10548.09	10697.00	10518.45	10665.82	1061771	0	0
2020.10.05	10663.49	10787.20	10613.60	10782.71	17250	0	0
2020.10.06	10792.20	10794.20	10524.79	10589.65	12742	0	106
2020.10.07	10589.65	10672.32	10541.75	10663.49	18517	0	915
2020.10.08	10663.49	10946.04	10523.47	10918.57	11231	0	0
2020.10.09	10918.57	11098.53	10829.12	11050.74	139345	0	0
2020.10.10	11050.05	11473.06	11048.13	11297.40	1468895	0	0
2020.10.11	11297.34	11435.14	11276.18	11361.63	1220807	0	0
2020.10.12	11361.63	11716.28	11179.88	11534.57	15594	0	113
2020.10.13	11534.45	11548.54	11308.07	11416.83	92848	0	0
2020.10.14	11416.83	11539.95	11285.11	11414.57	18189	0	0
2020.10.15	11414.57	11592.90	11266.72	11496.00	32646	0	0
2020.10.16	11496.49	11535.95	11212.82	11318.21	182531	0	0
2020.10.17	11318.32	11404.51	11257.94	11358.40	1112459	0	0
2020.10.18	11358.69	11504.48	11344.11	11503.98	938341	0	0
2020.10.19	11504.48	11817.90	11400.98	11744.24	25798	0	0
2020.10.20	11744.24	12039.86	11677.96	11911.08	20986	0	116
2020.10.21	11911.08	13192.81	11888.60	12812.02	279128	0	0
2020.10.22	12787.21	13178.08	12227.75	12970.60	64752	0	0
2020.10.23	12970.02	13019.47	12720.76	12925.87	218003	0	0
2020.10.24	12926.16	13156.84	12872.50	13096.32	1814018	0	0
2020.10.25	13095.80	13328.72	12876.10	13050.44	1929527	0	0
2020.10.26	13053.35	13231.84	12781.21	13090.35	18746	0	126
2020.10.27	13085.90	13779.67	13053.93	13709.28	18664	0	128
2020.10.28	13709.28	13849.64	12900.38	13246.24	17193	0	127
2020.10.29	13247.24	13637.32	12977.51	13587.40	22427	0	128
2020.10.30	13579.41	13661.33	13124.36	13519.93	387886	0	0
2020.10.31	13520.26	14005.35	13402.89	13756.33	2959644	0	0
2020.11.01	13757.01	13849.00	13596.12	13800.68	1889552	0	0
2020.11.02	13800.19	13806.18	13200.28	13522.96	21830	0	130
2020.11.03	13522.96	14051.08	13277.71	13833.84	22119	0	131
2020.11.04	13828.77	14256.79	13559.41	14111.05	20848	0	133
2020.11.05	14111.05	15910.02	14103.39	15837.58	29421	0	133
2020.11.06	15831.19	15924.17	15198.29	15580.86	471262	0	0
2020.11.07	15580.63	15746.88	14324.99	14823.53	4402318	0	0
2020.11.08	14824.79	15636.71	14728.68	15557.50	3260228	0	0
2020.11.09	15557.87	15829.95	14831.30	15296.69	16719	0	2
2020.11.10	15308.18	15504.84	15076.91	15467.02	38982	0	151
2020.11.11	15467.02	15966.41	15328.66	15616.37	131339	0	26
2020.11.12	15617.87	16449.04	15581.41	16402.08	143861	0	8
2020.11.13	16402.08	16482.00	15950.53	16305.47	382447	0	0
2020.11.14	16305.95	16310.48	15706.05	16056.32	3104789	0	0
2020.11.15	16057.15	16132.00	15777.21	15973.02	2595252	0	0
2020.11.16	15973.01	16874.13	15918.56	16805.39	99892	0	7
2020.11.17	16805.39	17768.82	16557.65	17666.31	102462	0	9
2020.11.18	17666.32	18275.87	17200.01	17745.46	59774	0	55
2020.11.19	17748.81	18151.73	17325.00	17759.47	54957	0	29
2020.11.20	17759.47	18811.18	17723.15	18629.01	601863	0	0
2020.11.21	18630.20	18914.50	18299.25	18656.45	4390917	0	0
2020.11.22	18656.82	18708.96	17606.73	18118.87	4620317	0	0
2020.11.23	18117.99	18744.73	18000.47	18363.12	86141	0	3
2020.11.24	18358.12	19423.56	18023.26	19164.82	115529	0	10
2020.11.25	19164.82	19464.51	18487.49	18855.63	88154	0	96
2020.11.26	18855.13	18883.09	16243.73	17409.62	153293	0	5
2020.11.27	17409.61	17483.08	16457.53	17143.54	688192	0	0
2020.11.28	17144.08	17868.37	16875.25	17723.10	4047548	0	0
2020.11.29	17718.52	18471.51	17524.28	18425.56	3514705	0	0
2020.11.30	18425.56	19850.05	18331.65	19549.43	117993	0	176
2020.12.01	19549.93	19897.59	18116.36	18825.16	197656	0	182
2020.12.02	18825.16	19325.16	18319.16	19190.73	119377	0	122
2020.12.03	19190.18	19606.87	18855.13	19470.01	97680	0	190
2020.12.04	19472.51	19496.49	18560.72	18645.36	786589	0	0
2020.12.05	18643.96	19159.93	18476.29	19127.67	3519886	0	0
2020.12.06	19128.54	19417.07	18865.44	19302.18	2863723	0	0
2020.12.07	19302.18	19388.09	18888.09	19215.27	96070	0	190
2020.12.08	19215.27	19292.19	18137.62	18161.82	94803	0	92
2020.12.09	18161.82	18624.86	17632.44	18417.06	91382	0	177
2020.12.10	18417.56	18488.50	17893.12	18001.81	95776	0	77
2020.12.11	18001.81	18163.41	17565.42	18025.43	489826	0	0
2020.12.12	18029.25	18923.58	18015.12	18806.86	3243574	0	0
2020.12.13	18807.50	19382.10	18711.53	19037.54	3187646	0	0
2020.12.14	19038.13	19382.60	19000.98	19377.11	58083	0	11
2020.12.15	19377.10	19550.42	19030.95	19353.13	82901	0	191
2020.12.16	19353.13	21520.85	19289.78	21388.60	140954	0	4
2020.12.17	21388.59	23698.66	21388.59	22741.85	177736	0	21
2020.12.18	22742.00	23260.42	22336.27	23085.32	715821	0	0
2020.12.19	23082.89	24123.23	22740.05	23813.17	6618923	0	0
2020.12.20	23811.13	24260.12	23066.91	23663.82	5539832	0	0
2020.12.21	23663.31	24099.88	22005.63	22536.43	102921	0	200
2020.12.22	22536.43	23980.00	22335.24	23964.01	61958	0	234
2020.12.23	23964.01	24090.89	22579.40	23046.48	77142	0	227
2020.12.24	23043.93	23798.43	22685.86	23604.52	84139	0	229
2020.12.25	23603.19	24720.84	23405.53	24661.96	914942	0	0
2020.12.26	24661.88	26756.12	24433.74	26430.77	7982281	0	0
2020.12.27	26432.37	28307.45	26085.90	26850.82	10987580	0	0
2020.12.28	26850.81	27470.72	26401.15	26791.18	65570	0	263
2020.12.29	26791.18	27800.68	25863.61	27596.38	49730	0	37
2020.12.30	27597.38	29285.51	27339.72	29071.90	96266	0	28
2020.12.31	29060.91	29277.19	27896.91	29013.46	156270	0	62
2021.01.01	29013.46	29636.52	28685.79	29376.48	795841	0	0
2021.01.02	29375.96	33241.01	29009.09	32181.44	13603981	0	0
2021.01.03	32184.82	34754.87	31962.73	32848.97	15849169	0	0
2021.01.04	32849.50	33596.18	28290.13	32420.05	209565	0	1549
2021.01.05	32426.54	34449.15	30031.02	33932.04	234960	0	720
2021.01.06	33932.03	37246.69	33516.45	37120.90	114934	0	1035
2021.01.07	37120.90	40312.87	36280.20	38761.21	75235	0	15
2021.01.08	38761.21	41902.82	36500.35	40570.64	3182525	0	0
2021.01.09	40581.62	41381.46	38721.21	40217.14	19673168	0	0
2021.01.10	40206.56	41425.05	34698.37	37133.83	20148986	0	0
2021.01.11	37139.32	37780.44	30331.21	34907.06	209291	0	1033
2021.01.12	34907.06	36611.35	32390.00	32442.29	112605	0	104
2021.01.13	32442.29	38123.67	32442.29	37749.71	97558	0	262
2021.01.14	37749.71	40055.18	36731.74	39379.58	92792	0	1203
2021.01.15	39379.58	39557.91	34406.51	36719.43	2142478	0	0
