<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	23:00:00	1941.690	1941.720	1937.810	1938.530	2782	0	50
2021.01.05	00:00:00	1938.530	1939.670	1934.310	1937.440	4476	0	50
2021.01.05	01:00:00	1937.470	1940.090	1936.760	1939.430	4137	0	50
2021.01.05	02:00:00	1939.400	1944.030	1939.240	1941.160	3277	0	50
2021.01.05	03:00:00	1941.120	1941.960	1936.700	1939.700	2172	0	50
2021.01.05	04:00:00	1939.700	1940.860	1937.730	1938.480	2607	0	50
2021.01.05	05:00:00	1938.510	1942.330	1937.000	1940.690	4154	0	50
2021.01.05	06:00:00	1940.680	1943.950	1939.110	1939.700	3650	0	50
2021.01.05	07:00:00	1939.750	1943.630	1939.470	1942.400	3863	0	50
2021.01.05	08:00:00	1942.400	1948.270	1941.730	1945.610	4534	0	50
2021.01.05	09:00:00	1945.610	1947.610	1943.520	1946.880	2993	0	50
2021.01.05	10:00:00	1946.880	1950.310	1946.270	1949.900	3895	0	50
2021.01.05	11:00:00	1949.850	1950.530	1945.510	1949.090	5440	0	50
2021.01.05	12:00:00	1949.070	1951.900	1946.230	1949.400	7357	0	50
2021.01.05	13:00:00	1949.440	1952.530	1941.520	1945.650	9298	0	50
2021.01.05	14:00:00	1943.830	1948.930	1939.040	1943.460	9031	0	50
2021.01.05	15:00:00	1943.450	1951.510	1942.790	1950.580	7435	0	50
2021.01.05	16:00:00	1950.670	1951.780	1947.690	1950.090	3760	0	50
2021.01.05	17:00:00	1950.120	1952.210	1949.020	1951.220	2788	0	50
2021.01.05	18:00:00	1951.220	1953.090	1949.950	1951.460	2432	0	50
2021.01.05	19:00:00	1951.310	1952.180	1948.110	1949.390	2679	0	50
2021.01.05	20:00:00	1949.490	1950.830	1947.700	1949.417	1498	0	0
2021.01.05	21:00:00	1949.462	1950.850	1947.697	1950.013	2069	0	0
2021.01.05	22:00:00	1949.890	1953.180	1948.570	1950.260	2437	0	50
2021.01.05	23:00:00	1950.370	1953.280	1948.830	1952.140	3428	0	50
2021.01.06	00:00:00	1952.080	1955.340	1946.690	1947.990	7885	0	50
2021.01.06	01:00:00	1948.220	1949.940	1942.200	1944.030	4619	0	50
2021.01.06	02:00:00	1944.080	1948.400	1942.110	1942.180	4375	0	50
2021.01.06	03:00:00	1942.130	1948.570	1941.410	1944.650	4377	0	50
2021.01.06	04:00:00	1944.650	1946.850	1943.070	1943.850	2633	0	50
2021.01.06	05:00:00	1943.850	1946.440	1943.220	1945.020	2943	0	50
2021.01.06	06:00:00	1945.010	1949.400	1943.330	1947.910	4777	0	50
2021.01.06	07:00:00	1947.910	1956.540	1946.170	1952.830	5982	0	50
2021.01.06	08:00:00	1952.830	1957.920	1952.760	1957.750	4624	0	50
2021.01.06	09:00:00	1957.730	1959.290	1954.330	1956.630	5308	0	50
2021.01.06	10:00:00	1956.630	1957.830	1945.550	1945.550	5771	0	50
2021.01.06	11:00:00	1945.310	1948.580	1925.300	1934.020	10197	0	50
2021.01.06	12:00:00	1933.970	1943.600	1930.740	1932.930	10875	0	50
2021.01.06	13:00:00	1932.910	1938.120	1927.380	1932.410	11794	0	50
2021.01.06	14:00:00	1932.400	1933.790	1904.150	1909.830	13613	0	50
2021.01.06	15:00:00	1909.880	1910.010	1900.830	1908.040	10602	0	50
2021.01.06	16:00:00	1908.040	1908.140	1902.610	1907.500	5432	0	50
2021.01.06	17:00:00	1907.460	1911.450	1906.040	1911.320	4318	0	50
2021.01.06	18:00:00	1911.320	1921.310	1908.640	1918.400	7873	0	50
2021.01.06	19:00:00	1918.400	1924.210	1915.300	1918.250	7478	0	50
2021.01.06	20:00:00	1918.330	1921.150	1915.900	1918.239	2621	0	0
2021.01.06	21:00:00	1918.290	1921.141	1915.985	1918.916	2693	0	0
2021.01.06	22:00:00	1920.940	1924.480	1920.000	1924.060	2599	0	50
2021.01.06	23:00:00	1924.060	1924.650	1918.620	1919.060	3356	0	50
2021.01.07	00:00:00	1919.060	1921.670	1915.750	1918.100	6173	0	50
2021.01.07	01:00:00	1918.100	1919.030	1914.700	1916.160	4398	0	50
2021.01.07	02:00:00	1916.160	1918.850	1914.780	1917.980	2507	0	50
2021.01.07	03:00:00	1917.980	1918.550	1916.640	1917.790	1932	0	50
2021.01.07	04:00:00	1917.790	1921.150	1916.010	1920.810	2849	0	50
2021.01.07	05:00:00	1920.810	1927.640	1919.690	1926.490	4498	0	50
2021.01.07	06:00:00	1926.490	1927.530	1919.220	1920.750	4754	0	50
2021.01.07	07:00:00	1920.650	1922.630	1916.170	1917.980	4910	0	50
2021.01.07	08:00:00	1917.980	1922.090	1914.990	1915.820	4437	0	50
2021.01.07	09:00:00	1915.820	1918.040	1908.730	1912.030	5902	0	50
2021.01.07	10:00:00	1911.980	1921.100	1911.320	1918.390	5555	0	50
2021.01.07	11:00:00	1918.440	1918.780	1914.580	1917.660	4328	0	50
2021.01.07	12:00:00	1917.810	1919.590	1910.390	1913.290	6997	0	50
