symbol,timeframe,strategy,costs_on,total_trades,wins,losses,win_rate,average_r,total_r,net_pnl,gross_pnl,total_costs,return_pct,max_drawdown_pct,profit_factor,candles,gaps,elapsed_s,status
BTCUSD,H4,break_retest,False,563,175,388,0.3108348134991119,0.23545642936201674,132.56196973081543,24205.630857731085,24205.630857731085,0.0,242.05630857731086,0.2856617759957299,1.34243151126452,16217,3,0.07,ok
BTCUSD,H4,inside_bar,True,105,29,76,0.2761904761904762,-0.03258447079357233,-3.4213694333250944,-493.4407787132368,775.3812360119315,1268.8220147251689,-4.934407787132368,0.21897372296345122,1.1171154304064723,16217,3,0.12,ok
BTCUSD,H4,inside_bar,False,105,29,76,0.2761904761904762,0.10476190476190449,10.999999999999972,980.7402033160645,980.7402033160645,0.0,9.807402033160646,0.1404508257064098,1.1353116085225565,16217,3,0.09,ok
BTCUSD,D1,trend_pullback,True,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2703,0,0.07,ok
BTCUSD,D1,trend_pullback,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2703,0,0.07,ok
BTCUSD,D1,break_retest,True,99,15,84,0.15151515151515152,-0.43745636574911717,-43.3081802091626,-3585.781768573767,-3196.4438769068347,389.33789166693043,-35.85781768573767,0.3585781768573765,0.5510733784349793,2703,0,0.01,ok
BTCUSD,D1,break_retest,False,99,15,84,0.15151515151515152,-0.3939393939393941,-39.000000000000014,-3302.46924175128,-3302.46924175128,0.0,-33.0246924175128,0.3341900947201983,0.5499513393227142,2703,0,0.01,ok
BTCUSD,D1,inside_bar,True,23,6,17,0.2608695652173913,-0.024993061501385912,-0.574840414531876,-92.79549490077368,59.873257937175765,152.66875283794963,-0.9279549490077368,0.0836220611562967,1.0366160982207389,2703,0,0.01,ok
BTCUSD,D1,inside_bar,False,23,6,17,0.2608695652173913,0.04347826086956491,0.9999999999999929,65.18255903566774,65.18255903566774,0.0,0.6518255903566774,0.06958910416480994,1.039433494045278,2703,0,0.01,ok
BTCUSD,W1,trend_pullback,True,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386,0,0.01,ok
BTCUSD,W1,trend_pullback,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386,0,0.02,ok
BTCUSD,W1,break_retest,True,16,6,10,0.375,0.5537736843527212,8.86037894964354,892.861074599858,907.2858644937197,14.424789893861487,8.92861074599858,0.039626355381965614,1.9571564819881895,386,0,0.0,ok
BTCUSD,W1,break_retest,False,16,6,9,0.375,0.5624999999999997,8.999999999999995,907.8736727669221,907.8736727669221,0.0,9.078736727669222,0.03940398999999991,1.9570326999815015,386,0,0.0,ok
BTCUSD,W1,inside_bar,True,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386,0,0.0,ok
BTCUSD,W1,inside_bar,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386,0,0.0,ok
XAUUSD,M1,trend_pullback,True,17625,5926,11699,0.3362269503546099,-0.5332562991824937,-9398.642273091453,-10138.356348660542,-170.7702193850666,9967.586129275724,-101.38356348660542,1.0138356348660529,0.9723267473422722,2643863,72,53.01,ok
XAUUSD,M1,trend_pullback,False,17625,5930,11695,0.3364539007092199,0.0102576975124042,180.79191865612404,18344.117277376914,18344.117277376914,0.0,183.44117277376915,0.9290040399728421,1.0225738451029183,2643863,72,55.11,ok
XAUUSD,M1,break_retest,True,109540,25222,84318,0.23025378857038525,-1.9484824701229428,-213436.76977726715,-10842.983333380815,524.5672153708563,11367.550548753323,-108.42983333380816,1.0843591511952364,1.1761498272381576,2643863,72,15.63,ok
XAUUSD,M1,break_retest,False,109540,31740,77800,0.28975716633193355,0.1589365811325609,17409.91309726072,696358.057962286,696358.057962286,0.0,6963.580579622861,0.06912960631170982,1.2117036747152563,2643863,72,15.08,ok
XAUUSD,M1,inside_bar,True,17296,3338,13958,0.19299259944495836,-2.549218196622563,-44091.27792878385,-10136.764936654907,468.253546973799,10605.018483629075,-101.36764936654907,1.0136764936655012,1.2683394855374266,2643863,72,9.48,ok
XAUUSD,M1,inside_bar,False,17296,4889,12407,0.2826665124884366,0.1313935444039601,2272.5827440108937,77993.1181438615,77993.1181438615,0.0,779.931181438615,0.22137571996911878,1.1811776190038277,2643863,72,11.42,ok
XAUUSD,M5,trend_pullback,True,9260,3172,6088,0.34254859611231103,-0.40423088458900924,-3743.1779912942256,-10056.844870139697,1141.368434025055,11198.21330416489,-100.56844870139699,1.0057335885496852,1.1336819721877773,529806,62,11.96,ok
XAUUSD,M5,trend_pullback,False,9260,3172,6088,0.34254859611231103,0.02951388237975796,273.2985508365587,44797.23748262127,44797.23748262127,0.0,447.9723748262127,0.8701703503728185,1.0721342248444492,529806,62,12.59,ok
XAUUSD,M5,break_retest,True,18808,5403,13405,0.28727137388345386,-0.6038010508626853,-11356.290164625385,-10111.478654158673,1009.4956294603209,11120.974283619262,-101.11478654158672,1.0112990490587261,1.1892762074879162,529806,62,3.13,ok
XAUUSD,M5,break_retest,False,18808,5451,13357,0.28982347937048064,0.156650007136012,2946.273334214113,256570.98802211386,256570.98802211386,0.0,2565.7098802211385,0.2544524250637731,1.1767028627707794,529806,62,3.03,ok
XAUUSD,M5,inside_bar,True,2773,742,2031,0.26758023800937614,-0.8156991474593589,-2261.9337359048022,-10011.564062523537,1019.416331225746,11030.980393749316,-100.11564062523537,1.001251803109495,1.1967226513581455,529806,62,2.26,ok
